station,id,longitude,latitude,altitude,departement
LE_CASTELLET,83035001,5.784667,43.252167,417,83
LE_CASTELLET_SAPC,83035002,5.770167,43.184,66,83
LE_HORPS,53116003,-0.440833,48.405667,268,53
LE_LUC,83031001,6.386167,43.383167,80,83
LE_MANS,72181001,0.194167,47.945833,51,72
LE_MONTDORE_BG,63236002,2.807,45.5745,1050,63
LE_MONTDORE_SAPC,63236003,2.8125,45.551833,1220,63
LE_PERRIER,85172001,-1.999833,46.8265,2,85
LE_PERTHUS,66137003,2.8595,42.473333,295,66
LE_RAIZET_AERO,97101015,-61.516333,16.264,11,971
LE_VIEUX_CERIER_SAPC,16403001,0.442,45.9675,162,16
LIGRE,37129002,0.273,47.112333,67,37
LILLELESQUIN,59343001,3.0975,50.57,47,59
LIMERAY,37131002,1.011833,47.461167,113,37
LIMOGESBELLEGARDE,87085006,1.175,45.861167,402,87
LIMOGES_VILLE,87085009,1.2675,45.828667,252,87
LIVRON,26165001,4.830667,44.794167,98,26
LOMONT,25635001,6.625667,47.358667,820,25
LONS_LE_SAUNIER,39362001,5.517667,46.692833,298,39
LORIENTLANN_BIHOUE,56185001,-3.435667,47.762833,45,56
LOUARGAT,22135002,-3.305,48.573333,260,22
LOUVIGNEDUDESERT,35162003,-1.129833,48.479333,153,35
LUCENDIOIS,26167001,5.451,44.617333,537,26
LURCYLEVIS_SA,3155003,2.947667,46.718333,225,3
LYE,36107001,1.5,47.228333,130,36
LYONBRON,69029001,4.949167,45.721333,202,69
LYONST_EXUPERY,69299001,5.077833,45.7265,235,69
L_AIGLE,61214002,0.662333,48.7585,232,61
MACON,71270004,4.83,46.308333,216,71
MAGNANVILLE,78354001,1.674167,48.963667,123,78
MAICHE,25356003,6.791,47.243,825,25
MAISONNAIS,18135001,2.2235,46.672667,219,18
MARCE,49188001,-0.317,47.561833,53,49
MARCILLAC,19125001,2.039833,45.2835,598,19
MARIGNANE,13054001,5.216,43.437667,9,13
MARSANNE,26176001,4.871667,44.643333,280,26
MARSAZ,26177001,4.938667,45.113167,213,26
MARTHON,16211002,0.44,45.61,120,16
MARTIGNEBRIAND,49191001,-0.435833,47.2525,73,49
MENAT,63223001,2.91,46.105167,410,63
MERCUROL,26179001,4.8835,45.0585,153,26
MERDRIGNAC,22147005,-2.408333,48.191667,135,22
MEYMAC,19136001,2.145,45.536667,710,19
MEYTHET,74182001,6.094,45.928167,455,74
MILLAU,12145001,3.0195,44.1185,712,12
MOLESMES_SAPC,89260001,3.463833,47.610333,355,89
MOLLANSSOUVEZ,26188001,5.183167,44.234167,280,26
MONISTROLSURLOIRE,43137003,4.231167,45.314,777,43
MONTAUBAN,82121002,1.376667,44.028,106,82
MONTBARD_SAPC,21425001,4.3305,47.6285,209,21
MONTBELIARD,25388002,6.813333,47.503667,318,25
MONTBEUGNY,3180001,3.423167,46.536333,275,3
MONTBOUCHERSJ,26191001,4.824167,44.545,136,26
MONTDEMARSAN,40192003,-0.5,43.89,39,40
MONTELIMAR,26198001,4.733,44.581167,73,26
MONTFORTSURARGENS_SAPC,83083001,6.127,43.469667,141,83
MONTIGNAC,16226001,0.1015,45.777167,63,16
MONTJOUX,26202001,5.097167,44.5095,491,26
MONTPELLIERAEROPORT,34154001,3.964667,43.576167,1,34
MONTSEGURSLAU,26211001,4.860833,44.3615,146,26
MONT_AIGOUAL,30339001,3.5815,44.121333,1567,30
MORTEAU_SA,25411005,6.612167,47.062333,760,25
MOUTHOUMET,11260001,2.525,42.96,558,11
MTSTVINCENT,71320001,4.477,46.627667,601,71
MURS,36136001,1.168333,46.925,148,36
MURVIEL_LES_BEZIERS,34178001,3.146,43.476,140,34
NANCYESSEY,54526001,6.2215,48.687833,212,54
NANCYOCHEY,54405001,5.959833,48.581,336,54
NANTESBOUGUENAIS,44020001,-1.608833,47.15,26,44
NANTIAT,87103002,1.180667,46.004667,335,87
NARBONNE,11262001,3.013333,43.183333,13,11
NAVES,19146001,1.772667,45.3215,450,19
NEUVIC,19148001,2.2815,45.379167,615,19
NEVERSMARZY,58160001,3.112667,46.998333,175,58
NICE,6088013,7.270667,43.6965,16,6
NIMESCOURBESSAC,30189001,4.406333,43.856833,59,30
NIMESGARONS,30258001,4.412833,43.772833,94,30
NIORT,79191005,-0.400167,46.315833,57,79
NOIRMOUTIER_EN,85163001,-2.257167,47.004667,3,85
NOUMEA,98818001,166.452833,-22.276,69,988
NYONS_P182,26220010,5.1155,44.359167,316,26
ORANGE,84087001,4.861,44.1445,57,84
ORLEANS,45055001,1.778167,47.990667,123,45
ORLY,91027002,2.397,48.718,86,91
ORSENNES,36146001,1.668333,46.465,315,36
ORTHEZ,64430001,-0.771667,43.49,87,64
ORVAL_RAD,18172003,2.467333,46.731,165,18
OUROUER,58204001,3.305,47.058667,262,58
PAGNYLECHATEAU,21131001,5.190667,47.043167,182,21
PARISMONTSOURIS,75114001,2.337833,48.821667,75,75
PAUUZEIN,64549001,-0.416333,43.385,183,64
PEIRA_CAVA,6077006,7.363333,43.929167,1443,6
PERPIGNAN,66136004,2.885,42.701667,48,66
PEYRELEVADE,19164001,2.058667,45.701,827,19
PEZENASTOURBES,34311001,3.400333,43.437667,40,34
PIERREBUFFIERE,87119002,1.358333,45.696667,253,87
PILACANALE,20232002,8.903667,41.8145,407,20
PIONSAT,63281001,2.687833,46.104833,524,63
PLAUZAT_SAPC,63282001,3.133667,45.632333,503,63
PLOERMEL,56165003,-2.3975,47.950833,65,56
PLOUGUENAST,22219001,-2.708333,48.28,150,22
PLOUMANACH,22168001,-3.473167,48.825833,55,22
POITIERSBIARD,86027001,0.314333,46.593833,125,86
PONTARION_SAPC,23155001,1.852833,45.995667,455,23
PONTARLIER,25462001,6.32,46.927,808,25
PONTIVY,56178002,-2.848333,48.083333,59,56
PORQUEROLLES,83069002,6.226833,43.0,135,83
POUILLY_EN_AUX_SAPC,21501003,4.561,47.251333,412,21
POUZAUGES_SA,85182004,-0.830833,46.766,153,85
PREENPAIL_SAPC,53185001,-0.183167,48.452,277,53
PREMERY,58218005,3.33,47.171667,238,58
PREVERANGES,18187004,2.2365,46.425333,462,18
PUJAUT,30209001,4.775,44.005,110,30
PUYSTMARTIN,26258001,4.976833,44.618167,211,26
QUIMPER,29232002,-4.108333,47.995,60,29
QUINTENIC,22261002,-2.42,48.519167,71,22
RAPA,98741001,-144.334833,-27.618333,2,987
REGUSSE,83102001,6.128333,43.655,525,83
REIGNAC,37192001,0.899,47.219333,90,37
REMUZAT,26264002,5.367,44.431667,475,26
RENNESST_JACQUES,35281001,-1.734,48.068833,36,35
RENNO,20258001,8.807167,42.190167,755,20
REUILLY,36171002,2.026667,47.076667,155,36
ROCHEFORTSAMSON_SAPC,26273002,5.165167,44.990667,368,26
RODEZAVEYRON,12254001,2.4825,44.410333,578,12
ROISSY,95527001,2.534333,49.015167,108,95
ROMANS_SAPC,26281001,4.998667,45.050167,156,26
ROMORANTIN,41194001,1.746667,47.36,104,41
RONSENAC,16283002,0.253333,45.478333,90,16
ROSNAY,36173002,1.249833,46.703,109,36
ROUENBOOS,76116001,1.178333,49.3895,156,76
RULLY,71378001,4.744167,46.8665,240,71
SAINTCASTLEG,22282001,-2.247,48.6445,35,22
SAINTE_GEMME_LA_PLAINE_SAPC,85216001,-1.121333,46.440167,3,85
SALINDRES,30305001,4.1525,44.1745,191,30
SALON_DE_PROVENCE,13103001,5.108,43.612833,58,13
SAMPOLO,20268001,9.123,41.943,837,20
SANCERRE,18241002,2.799,47.336167,240,18
SARTENE,20272004,8.979333,41.652333,62,20
SARZEAU_SA,56240003,-2.796,47.510667,35,56
SAUNAY,37240001,0.931333,47.590333,109,37
SAVIGNY_CLAIRIS,89380001,3.104,48.0865,184,89
SAVIGNY_VERON,37242002,0.149333,47.227,33,37
SAYAT_SAPC,63417001,3.045167,45.839667,550,63
SEDERON,26340001,5.538833,44.202333,804,26
SEGONZAC_SAPC,16366001,-0.2235,45.6145,62,16
SEMUR_EN_AUXOIS_SAPC,21603001,4.34,47.482,314,21
SEVRY,18251001,2.804667,47.138,205,18
SISTERON,4209005,5.916,44.2245,500,4
SOCOA,64189001,-1.6865,43.3945,21,64
SOLENZARA,20342001,9.400833,41.921833,12,20
SONZAY,37249001,0.470667,47.5185,117,37
SOSPEL,6136005,7.433667,43.862833,843,6
STAMANDMTROND,18197004,2.502833,46.737333,177,18
STANTHEME,63319002,3.886167,45.575833,1263,63
STBARTHELEMYV_SAPC,26295001,4.9025,45.173833,203,26
STBONNETLECHATEAU_SAPC,42204002,4.072,45.436167,822,42
STCHRISTOPHEL_SAPC,26298001,5.071833,45.229333,452,26
STCHRISTOPHESURNAIS,37213003,0.464333,47.6155,107,37
STEPAIN,37216002,0.604833,47.157167,112,37
STETIENN_MET,42218007,4.417667,45.421833,590,42
STE_MARIE_CUINES,73255003,6.307167,45.3435,460,73
STGENESCHPLLEINRAE,63345002,3.019333,45.723,893,63
STGERMAINL_AR,69208001,4.6045,45.869333,370,69
STGERMAINL_HE,63353003,3.532667,45.461,1070,63
STJEAND_ARDIE,69211001,4.702667,46.117667,240,69
STJEANENROYA,26307001,5.2925,45.009167,308,26
STJUSTENCHEV,42248002,3.844167,45.9085,612,42
STMARCELLESVINRAE,26313001,4.931333,44.980167,190,26
STMARDS,10350001,3.789,48.169833,227,10
STMARTINDUM,21561003,4.781167,47.4005,578,21
STMAURICELESCOUCHES_SAPC,71464001,4.594833,46.881833,300,71
STNICOLAS,82169001,1.026667,44.055,82,82
STNICOLASDEBOURGUEIL,37228001,0.107833,47.29,44,37
STPIERRE,48176001,3.3,44.246667,860,48
STPRIVAT,19237001,2.096,45.139,585,19
STRASBOURGENTZHEIM,67124001,7.640333,48.5495,150,67
STRASBOURG_BOTANIQUE,67482001,7.768833,48.581833,139,67
STSORLINENVA,26330001,4.930333,45.271167,237,26
ST_AUBAN,4049001,5.989667,44.062167,458,4
ST_BRIEUC,22372001,-2.852,48.534667,135,22
ST_CHRISTOL,84107002,5.492833,44.040667,836,84
ST_CREPIN,24392001,1.276667,44.958333,270,24
ST_ETIENNEBOUTHEON,42005001,4.293833,45.545667,395,42
ST_ETIENNE_DE_TINEE_SAPC,6120004,6.921167,44.257667,1150,6
ST_FRONT,16318001,0.295833,45.881833,97,16
ST_GERMAIN_BELL,87146002,1.4995,45.6125,418,87
ST_GIRONS,9289001,1.106833,43.005333,414,9
ST_JEANSTNICOLAS,5145002,6.209833,44.670833,1210,5
ST_JEAN_DE_MINERVOIS,34269001,2.857667,43.385667,258,34
ST_JULIEN_SA,39485002,5.448,46.385167,361,39
ST_JUNIEN,87154003,0.917,45.900833,271,87
ST_LEONARD_NOBL,87161002,1.4965,45.828667,346,87
ST_MICHEL_MAUR_SAPC,73261003,6.4645,45.218167,698,73
ST_M_HINX_STNAINRAE,40272002,-1.299333,43.570833,37,40
ST_NAZAIREMONTOIR,44103001,-2.1545,47.313833,3,44
ST_PAUL_DE_FENOUILLET,66187006,2.485333,42.8205,300,66
ST_QUENTIN,2320001,3.206,49.818333,98,2
ST_SIGISMOND,74252001,6.612167,46.076333,1020,74
ST_THIERRYCIVC,51518001,3.960667,49.300833,135,51
ST_YAN,71491001,4.0165,46.408333,242,71
ST_YRIEIX_LA_PE,87187003,1.243833,45.513667,404,87
SUBLAINES,37253001,0.993167,47.265,111,37
TANUS,81292001,2.279667,44.107167,537,81
TARASCON,13108002,4.666667,43.805,102,13
TARBESLOURDESPYRENEES,65344001,0.0,43.188,360,65
TAULIGNAN,26348001,4.989833,44.430167,257,26
TAUVES,63426001,2.595667,45.544667,851,63
TENDU_SAPC,36219001,1.588333,46.6615,155,36
